# of Units,Date,Description,Address,Location Type
1,8/21/18 17:41,"Lock-in (if lock out , use 511 )",105 N IH 35  ,Vehicle parking area
1,8/21/18 20:13,"EMS call, excluding vehicle accident with injury",801  River RD ,Multifamily dwellings
2,8/21/18 21:38,Motor vehicle accident with no injuries,201 E Access RD ,Highway or divided highway
1,8/22/18 2:38,"EMS call, excluding vehicle accident with injury",722  Stagecoach TRL ,1 or 2 family dwelling
2,8/22/18 3:35,Motor vehicle accident with no injuries,200 W SB RD ,Highway or divided highway
1,8/22/18 8:18,No incident found on arrival at dispatch address,345  Champions BLVD ,Multifamily dwellings
1,8/22/18 9:30,Vehicle accident with injuries,2900  Blanco Vista BLVD ,"Residential street, road or residential driveway"
1,8/22/18 9:53,Vehicle accident with injuries,2600  Hunter RD ,Street or road in commercial area
1,8/22/18 10:08,"Smoke detector activation, no fire - unintentional",4020  Monterrey Oak  ,"Elementary school, including kindergarten"
1,8/22/18 10:45,Motor vehicle accident with no injuries,100 W Access RD ,Highway or divided highway
2,8/22/18 12:45,Motor vehicle accident with no injuries,1807  Airport DR ,Open land or field
1,8/22/18 13:27,Alarm system sounded due to malfunction,1404  Wonder World DR ,"Hotel/motel, commercial"
1,8/22/18 14:16,Power line down,300  Staples RD ,Street or road in commercial area
1,8/22/18 15:44,"Medical assist, assist EMS crew",221 E Sessom DR ,Restaurant or cafeteria
3,8/22/18 16:43,"Natural vegetation fire, other",8  Cow TRL ,Open land or field
1,8/22/18 17:43,"Medical assist, assist EMS crew",200 W Hopkins ST ,"Food and beverage sales, grocery store"
2,8/22/18 17:58,Motor vehicle accident with no injuries,  Hwy 80  ,Highway or divided highway
1,8/22/18 21:19,Assist invalid,711  Georgia ST ,1 or 2 family dwelling
1,8/22/18 23:01,Motor vehicle accident with no injuries,199 W Access RD ,Highway or divided highway
1,8/23/18 0:43,"EMS call, excluding vehicle accident with injury",509  Moore ST ,1 or 2 family dwelling
1,8/23/18 1:59,"Medical assist, assist EMS crew",1415  Craddock AVE ,Multifamily dwellings
1,8/23/18 4:16,"Medical assist, assist EMS crew",512  Lockhart ST ,Multifamily dwellings
1,8/23/18 4:39,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
1,8/23/18 8:10,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,8/23/18 11:51,"EMS call, excluding vehicle accident with injury",901  Hwy 80  ,"Food and beverage sales, grocery store"
1,8/23/18 13:58,"Alarm system sounded, no fire - unintentional",120  Bert Brown RD ,"Reformatory, juvenile detention center"
1,8/23/18 16:00,"EMS call, excluding vehicle accident with injury",1208  Monica ST ,1 or 2 family dwelling
1,8/23/18 16:35,Police matter,1331  Hwy 123  ,Vehicle parking area
2,8/23/18 18:05,Bomb scare - no bomb,2300 S IH 35  ,Police station
2,8/23/18 21:06,Motor vehicle accident with no injuries,  Aquarena Springs DR ,Highway or divided highway
1,8/23/18 21:46,Vehicle accident with injuries,301 N Guadalupe ST ,"Street, other"
2,8/23/18 22:02,Alarm system sounded due to malfunction,401 E Hopkins ST ,"Public or government, other"
1,8/24/18 2:10,"EMS call, excluding vehicle accident with injury",623  Georgia ST ,1 or 2 family dwelling
1,8/24/18 4:41,"EMS call, excluding vehicle accident with injury",302  Student Center DR ,"Dormitory type residence, other"
1,8/24/18 8:58,"Medical assist, assist EMS crew",875  Bandera ST ,1 or 2 family dwelling
1,8/24/18 11:50,Vehicle accident with injuries, W Hopkins ST ,Street or road in commercial area
8,8/24/18 14:10,Building fire,503  Springtown WAY ,Multifamily dwellings
1,8/24/18 14:23,"EMS call, excluding vehicle accident with injury",1001  Gravel ST ,1 or 2 family dwelling
1,8/24/18 14:27,Motor vehicle accident with no injuries,133 W Holland ST ,"Residential street, road or residential driveway"
1,8/24/18 15:13,"EMS call, excluding vehicle accident with injury",3939 S IH 35  ,Department or discount store
2,8/24/18 15:55,No incident found on arrival at dispatch address,210  SB  ,Highway or divided highway
1,8/24/18 17:41,"EMS call, excluding vehicle accident with injury",1610 N IH 35  ,Multifamily dwellings
1,8/24/18 19:00,"EMS call, excluding vehicle accident with injury",1202 S IH 35  ,Restaurant or cafeteria
6,8/25/18 0:49,"Smoke scare, odor of smoke",117  Oak Ridge DR ,1 or 2 family dwelling
1,8/25/18 1:04,"Emergency medical service, other",1800  Uhland RD ,"Residential street, road or residential driveway"
1,8/25/18 1:56,"EMS call, excluding vehicle accident with injury",312 W Hopkins ST ,Restaurant or cafeteria
1,8/25/18 2:17,"EMS call, excluding vehicle accident with injury",1004  Hwy 123  ,Restaurant or cafeteria
1,8/25/18 10:06,"Alarm system sounded, no fire - unintentional",1000  Civic Center LP ,"Manufacturing, processing"
2,8/25/18 14:54,Assist police or other governmental agency,205  SB  ,Highway or divided highway
1,8/25/18 21:00,"EMS call, excluding vehicle accident with injury",512  Lockhart ST ,1 or 2 family dwelling
1,8/25/18 21:18,"EMS call, excluding vehicle accident with injury",1635  Aquarena Springs DR ,"Hotel/motel, commercial"
1,8/26/18 1:24,"Medical assist, assist EMS crew",917 N IH 35  ,"Hotel/motel, commercial"
1,8/26/18 1:28,"EMS call, excluding vehicle accident with injury",409 N Edward Gary ST ,"Dormitory type residence, other"
1,8/26/18 12:17,"EMS call, excluding vehicle accident with injury",518  Linda DR ,Multifamily dwellings
1,8/26/18 12:41,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,8/26/18 13:09,"EMS call, excluding vehicle accident with injury",135 S Guadalupe ST ,Vehicle parking area
1,8/26/18 13:12,"EMS call, excluding vehicle accident with injury",1303 S IH 35  ,Vehicle parking area
1,8/26/18 13:57,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,8/26/18 15:50,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
2,8/26/18 15:54,Motor vehicle accident with no injuries,202  NB  ,Highway or divided highway
2,8/26/18 16:30,Motor vehicle accident with no injuries,200 E Access RD ,"Street, other"
1,8/26/18 19:45,"EMS call, excluding vehicle accident with injury",122  Nance ST ,1 or 2 family dwelling
1,8/26/18 22:08,"EMS call, excluding vehicle accident with injury",650  River RD ,1 or 2 family dwelling
1,8/26/18 22:09,"EMS call, excluding vehicle accident with injury",2  Timbercrest  ,1 or 2 family dwelling
1,8/26/18 22:55,"EMS call, excluding vehicle accident with injury",130  Jackson LN ,Vehicle parking area
1,8/27/18 2:18,Motor vehicle accident with no injuries,800 N LBJ DR ,"Residential street, road or residential driveway"
1,8/27/18 3:31,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,8/27/18 3:42,Assist police or other governmental agency,419  Linda DR ,Vehicle parking area
1,8/27/18 7:03,"EMS call, excluding vehicle accident with injury",700 N Comanche ST ,"Adult education center, college classroom"
2,8/27/18 11:46,"EMS call, excluding vehicle accident with injury",327 W Woods ST ,"Adult education center, college classroom"
1,8/27/18 11:53,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,Hemodialysis unit
2,8/27/18 12:01,"EMS call, excluding vehicle accident with injury",1629  Post RD ,Vehicle parking area
1,8/27/18 12:47,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,8/27/18 16:55,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,8/27/18 18:12,"EMS call, excluding vehicle accident with injury",103  Spring Hollow CV ,1 or 2 family dwelling
1,8/27/18 19:55,"Medical assist, assist EMS crew",600  Leah AVE ,Multifamily dwellings
1,8/27/18 20:53,"EMS call, excluding vehicle accident with injury",2131 N IH 35  ,Vehicle parking area
1,8/27/18 22:42,"Medical assist, assist EMS crew",1101 E River Ridge PKWY ,Multifamily dwellings
1,8/27/18 23:07,"EMS call, excluding vehicle accident with injury",705  River RD ,Multifamily dwellings
1,8/27/18 23:38,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
1,8/28/18 2:47,"EMS call, excluding vehicle accident with injury",110  Park LN ,1 or 2 family dwelling
1,8/28/18 4:09,"Medical assist, assist EMS crew",512  Lockhart ST ,1 or 2 family dwelling
2,8/28/18 6:18,Motor vehicle accident with no injuries,200  SB  ,Highway or divided highway
2,8/28/18 6:29,Motor vehicle accident with no injuries,199 W Access RD ,Highway or divided highway
1,8/28/18 7:04,Police matter,2201 S IH 35  ,Highway or divided highway
2,8/28/18 9:03,"Medical assist, assist EMS crew",1800  Post RD ,Multifamily dwellings
1,8/28/18 9:38,"EMS call, excluding vehicle accident with injury",148  Sherwood DR ,1 or 2 family dwelling
1,8/28/18 11:25,No incident found on arrival at dispatch address,600  Leah AVE ,Multifamily dwellings
1,8/28/18 13:17,"Medical assist, assist EMS crew",1202  Thorpe LN ,Multifamily dwellings
4,8/28/18 14:35,Cultivated grain or crop fire,8500  Fm 621  ,Open land or field
1,8/28/18 16:45,"Steam, other gas mistaken for smoke, other",1433 N IH 35  ,"Hotel/motel, commercial"
1,8/28/18 18:14,Motor vehicle accident with no injuries,  Foxtail RUN ,Street or road in commercial area
1,8/28/18 19:26,Motor vehicle accident with no injuries,  Burleson ST ,"Residential street, road or residential driveway"
1,8/29/18 3:19,Alarm system sounded due to malfunction,417 N Comanche ST ,Multifamily dwellings
1,8/29/18 6:21,Public service,1703 N IH 35  ,Multifamily dwellings
1,8/29/18 6:52,No incident found on arrival at dispatch address,  Hwy 123  ,Highway or divided highway
1,8/29/18 7:21,Public service,225  Ramsay ST ,Multifamily dwellings
1,8/29/18 11:23,"EMS call, excluding vehicle accident with injury",401  Carlson CIR ,Business office
3,8/29/18 14:46,"Unintentional transmission of alarm, other",1001 E McCarty LN ,"Hotel/motel, commercial"
2,8/29/18 15:21,Vehicle accident with injuries, E McCarty LN ,Highway or divided highway
2,8/29/18 16:17,Motor vehicle accident with no injuries,200  NB  ,Highway or divided highway
1,8/29/18 16:24,"EMS call, excluding vehicle accident with injury",1033  Haynes ST ,1 or 2 family dwelling
2,8/29/18 16:32,Public service,201  SB  ,Highway or divided highway
1,8/29/18 17:15,"EMS call, excluding vehicle accident with injury",1809  Ramona CIR ,1 or 2 family dwelling
1,8/29/18 17:25,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
2,8/29/18 18:20,"Outside rubbish, trash or waste fire",2207  River RD ,1 or 2 family dwelling
1,8/29/18 18:35,"EMS call, excluding vehicle accident with injury",1640  Aquarena Springs DR ,Multifamily dwellings
1,8/30/18 0:02,"Malicious, mischievous false call, other",417 N Comanche ST ,Multifamily dwellings
1,8/30/18 5:24,"EMS call, excluding vehicle accident with injury",623  Georgia ST ,1 or 2 family dwelling
1,8/30/18 7:37,"EMS call, excluding vehicle accident with injury",103  Smith LN ,Multifamily dwellings
3,8/30/18 8:34,Gasoline or other flammable liquid spill,199  SB  ,Highway or divided highway
3,8/30/18 10:23,Vehicle accident with injuries,  Hwy 80  ,Street or road in commercial area
2,8/30/18 11:07,Gas leak (natural gas or LPG),316  Dieter DR ,1 or 2 family dwelling
2,8/30/18 12:35,Motor vehicle accident with no injuries,205  SB  ,Highway or divided highway
1,8/30/18 12:45,Assist police or other governmental agency,  EXIT 204B SB  ,Highway or divided highway
1,8/30/18 17:01,"Medical assist, assist EMS crew",1951  Aquarena Springs DR ,Multifamily dwellings
1,8/30/18 17:05,"EMS call, excluding vehicle accident with injury",130  Jackson LN ,Multifamily dwellings
3,8/30/18 18:02,Motor vehicle accident with no injuries, E McCarty LN ,Street or road in commercial area
2,8/30/18 18:47,"Unintentional transmission of alarm, other",1207 S IH 35  ,Restaurant or cafeteria
2,8/30/18 19:42,Motor vehicle accident with no injuries,198  NB  ,Highway or divided highway
1,8/30/18 20:11,"Medical assist, assist EMS crew",1433 N IH 35  ,"Hotel/motel, commercial"
1,8/30/18 20:59,"EMS call, excluding vehicle accident with injury",600  Leah AVE ,Multifamily dwellings
1,8/30/18 22:35,"EMS call, excluding vehicle accident with injury",600  Leah AVE ,Multifamily dwellings
1,8/30/18 23:43,Vehicle accident with injuries,709 N IH 35  ,"Motor vehicle or boat sales, services, repair"
1,8/31/18 8:00,"Smoke scare, odor of smoke",1121  Cheatham ST ,1 or 2 family dwelling
1,8/31/18 10:48,Gas leak (natural gas or LPG), N C M Allen PKWY ,Street or road in commercial area
1,8/31/18 12:40,"Extrication, rescue, other",711  Georgia ST ,1 or 2 family dwelling
2,8/31/18 17:38,Motor vehicle accident with no injuries,  Hunter RD ,Street or road in commercial area
2,8/31/18 18:16,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
6,8/31/18 18:21,Passenger vehicle fire,  Kid Ranch LN ,Street or road in commercial area
1,8/31/18 19:31,"EMS call, excluding vehicle accident with injury",216 E Hopkins ST ,Restaurant or cafeteria
1,8/31/18 20:07,"EMS call, excluding vehicle accident with injury",1850  Aquarena Springs DR ,Vehicle parking area
1,9/1/18 4:29,"Medical assist, assist EMS crew",100 E Hopkins ST ,Street or road in commercial area
3,9/1/18 4:49,Motor vehicle/pedestrian accident (MV Ped),205  SB  ,Highway or divided highway
1,9/1/18 6:01,"EMS call, excluding vehicle accident with injury",102  Mosscliff CIR ,"Boarding/rooming house, residential hotels"
1,9/1/18 6:54,"EMS call, excluding vehicle accident with injury",502  Patricia DR ,Highway or divided highway
1,9/1/18 8:47,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
2,9/1/18 9:44,Motor vehicle accident with no injuries,208  SB  ,Highway or divided highway
2,9/1/18 11:22,Alarm system sounded due to malfunction,1951  Aquarena Springs DR ,Multifamily dwellings
1,9/1/18 12:11,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,9/1/18 13:34,"EMS call, excluding vehicle accident with injury",1001 E McCarty LN ,"Convention center, exhibition hall"
1,9/1/18 15:18,"EMS call, excluding vehicle accident with injury",401  Carlson CIR ,Business office
2,9/1/18 15:43,Vehicle accident with injuries,198  SB  ,Highway or divided highway
3,9/1/18 16:09,Motor vehicle accident with no injuries,4300 S IH 35  ,Highway or divided highway
1,9/1/18 19:25,"EMS call, excluding vehicle accident with injury",1001 E McCarty LN ,"Convention center, exhibition hall"
2,9/1/18 19:44,Alarm system sounded due to malfunction,109  West AVE ,Multifamily dwellings
1,9/1/18 20:26,"EMS call, excluding vehicle accident with injury",1137  Gravel ST ,1 or 2 family dwelling
1,9/1/18 21:02,"EMS call, excluding vehicle accident with injury",2913  Hunter RD ,Multifamily dwellings
1,9/1/18 22:45,"Public service assistance, other",1850  Aquarena Springs DR ,Multifamily dwellings
1,9/1/18 23:07,"EMS call, excluding vehicle accident with injury",600  Wonder World DR ,"Hotel/motel, commercial"
1,9/2/18 0:11,Animal problem,1408  Harper DR ,1 or 2 family dwelling
1,9/2/18 1:22,"Emergency medical service, other",1101 E River Ridge PKWY ,Multifamily dwellings
1,9/2/18 1:40,"EMS call, excluding vehicle accident with injury",100 N Guadalupe ST ,Bar or nightclub
1,9/2/18 10:14,"EMS call, excluding vehicle accident with injury",1415  Craddock AVE ,Vehicle parking area
1,9/2/18 13:01,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
4,9/2/18 13:56,Grass fire,200  SB  ,Highway or divided highway
1,9/2/18 15:19,Power line down,2917  Hunter RD ,Vehicle parking area
